new,temp,humi,movement,vacc,naver
15,27.2,83.9,5952275,0.0,7.6751700000000005
26,28.0,82.4,5917977,0.0,7.31749
32,27.1,86.1,5992072,0.0,15.81167
74,26.1,96.0,5379891,0.0,18.463430000000002
146,27.4,82.6,5110491,0.0,26.623459999999998
90,28.2,77.9,5188796,0.0,29.13207
132,27.5,76.3,5620878,0.0,35.06639
151,27.1,76.8,5546460,0.0,35.562650000000005
135,27.7,76.0,5492277,0.0,34.219789999999996
126,26.6,83.1,5548364,0.0,32.202149999999996
128,24.3,87.4,4995368,0.0,26.8408
140,25.3,78.4,4607805,0.0,28.864310000000003
97,27.8,71.6,5384771,0.0,37.74052
134,29.9,69.5,5450433,0.0,31.99742
112,30.2,68.3,5376387,0.0,30.137549999999997
154,27.1,84.6,5264257,0.0,39.62704
146,27.3,89.1,5486058,0.0,32.55216
125,26.8,90.1,4949641,0.0,22.92304
116,26.8,88.8,4453144,0.0,21.0021
94,26.4,77.9,5128319,0.0,26.77883
94,26.6,72.4,4931956,0.0,24.0578
101,24.3,91.3,4805630,0.0,21.50679
69,22.7,82.0,4933263,0.0,20.376990000000003
68,23.3,63.9,5190143,0.0,23.59536
51,23.3,66.6,4696140,0.0,18.332559999999997
63,21.7,80.0,4254192,0.0,24.4333
48,19.2,93.5,4827223,0.0,23.74206
67,23.4,71.5,5236232,0.0,27.71803
49,21.1,83.4,5218439,0.0,26.90087
48,22.8,75.8,5339641,0.0,26.784069999999996
63,22.4,72.6,5363487,0.0,24.87447
50,20.2,83.8,4835957,0.0,23.0802
31,21.5,70.4,4507868,0.0,25.85078
41,21.3,79.3,5631374,0.0,23.35732
32,23.0,76.4,5771397,0.0,16.9129
51,22.5,79.9,5762042,0.0,12.769250000000001
63,21.3,70.3,5837765,0.0,13.48902
46,21.5,62.0,5981191,0.0,11.873059999999999
40,21.2,59.3,5480247,0.0,9.749669999999998
28,19.7,57.6,4984864,0.0,10.1503
23,19.1,56.1,5920506,0.0,13.045589999999999
21,20.2,55.3,5993269,0.0,13.181519999999999
40,19.2,59.9,6039443,0.0,12.392109999999999
39,20.6,59.6,6073418,0.0,11.485399999999998
57,20.1,64.1,6182788,0.0,10.177579999999999
26,19.3,62.5,5664772,0.0,8.72616
34,20.4,63.3,5103477,0.0,8.33033
19,20.7,66.0,6068881,0.0,10.312420000000001
11,19.6,67.6,6125258,0.0,10.52708
51,19.6,78.0,5032352,0.0,9.9899
30,18.8,74.9,4632641,0.0,9.73447
11,19.2,79.6,4420448,0.0,10.15124
26,19.9,72.5,4707066,0.0,9.058440000000001
16,16.6,65.1,4700439,0.0,9.21699
19,13.3,57.3,5485926,0.0,12.155809999999999
15,14.2,55.9,5594366,0.0,10.61406
33,16.0,48.9,5666174,0.0,11.019329999999998
20,17.2,53.0,5836340,0.0,10.24786
22,17.2,53.4,5251091,0.0,7.8937800000000005
25,16.9,60.1,5384325,0.0,7.6391599999999995
23,16.9,68.5,5005758,0.0,12.331150000000001
31,16.2,68.6,5748708,0.0,12.65296
20,13.6,52.3,5824452,0.0,10.85534
23,12.8,47.0,5853297,0.0,12.16109
25,11.7,41.8,5873946,0.0,11.06451
18,11.8,64.3,6059501,0.0,10.341310000000002
18,13.1,64.3,5804887,0.0,7.38599
20,13.6,65.5,5350206,0.0,7.0571600000000005
14,15.1,74.4,5890509,0.0,8.647969999999999
11,15.2,67.1,5956184,0.0,7.787990000000001
17,14.1,69.4,5988938,0.0,8.111550000000001
18,13.5,66.0,5989596,0.0,9.296700000000001
20,8.6,51.5,6174896,0.0,11.08795
22,8.7,47.6,5879276,0.0,7.847829999999999
17,11.8,62.5,5436306,0.0,6.406960000000001
20,12.9,71.6,5971757,0.0,9.05686
24,14.0,74.1,6027992,0.0,8.21528
25,13.8,52.1,6092526,0.0,8.20213
36,10.8,40.3,6106140,0.0,8.73143
48,11.9,42.9,6296541,0.0,7.71098
52,13.6,60.3,6004176,0.0,7.12795
45,13.7,84.3,5095732,0.0,11.21843
25,10.8,58.3,5657183,0.0,9.524690000000001
22,5.1,47.5,5689430,0.0,7.05739
42,4.9,43.9,5772077,0.0,7.343419999999999
50,9.6,61.5,5839515,0.0,7.62678
40,13.5,63.3,6022927,0.0,7.348259999999999
37,14.6,68.8,5764788,0.0,5.75519
54,8.5,43.8,5295519,0.0,5.94141
46,5.5,40.9,5753985,0.0,7.92858
35,7.7,56.1,5885355,0.0,7.13525
45,9.3,53.5,5969505,0.0,6.90277
53,10.4,56.9,5954418,0.0,7.44228
74,12.2,71.5,6136550,0.0,11.43965
69,12.5,66.9,5823821,0.0,11.25187
85,11.1,75.0,5390090,0.0,11.44133
81,12.4,70.1,5837555,0.0,16.108539999999998
90,15.9,67.5,5893371,0.0,14.84982
92,16.6,91.4,5918586,0.0,23.007669999999997
109,13.6,90.5,5788879,0.0,24.4107
132,2.8,74.3,6050507,0.0,23.83936
156,6.5,67.9,5696041,0.0,20.73649
121,5.6,80.5,5177575,0.0,22.131320000000002
112,1.7,61.4,5786087,0.0,22.066309999999998
133,2.9,54.5,5652084,0.0,19.05273
142,4.6,64.1,5700224,0.0,22.57818
213,5.6,66.5,5615360,0.0,45.029990000000005
204,4.1,61.6,5677660,0.0,35.06415
178,-0.1,50.0,5245561,0.0,25.22754
158,-0.6,59.6,4865385,0.0,29.91773
159,-0.2,57.8,5524852,0.0,31.57791
155,1.1,44.5,5053957,0.0,21.53503
193,2.4,41.4,5105225,0.0,20.830450000000003
262,0.7,47.1,5121304,0.0,21.18525
295,-0.6,53.8,5251584,0.0,31.938989999999997
235,2.1,63.1,4953421,0.0,21.888969999999997
254,4.5,66.9,4549553,0.0,25.920859999999998
244,3.4,57.5,5029115,0.0,25.5863
214,-0.5,50.0,4941427,0.0,21.905430000000003
270,1.5,55.1,4976116,0.0,22.737859999999998
251,5.8,69.9,5010144,0.0,22.720910000000003
252,5.3,77.1,5130462,0.0,25.709579999999995
362,2.3,51.3,4781479,0.0,42.40678
399,-1.1,74.9,4208391,0.0,45.09433
219,-7.7,49.1,4824157,0.0,45.44406
251,-8.3,43.0,4863175,0.0,34.43878
378,-8.3,43.9,4894423,0.0,36.160450000000004
423,-4.9,47.0,4955889,0.0,33.03644
398,-2.1,57.0,5081829,0.0,27.848750000000003
384,-5.1,45.1,4773182,0.0,23.766170000000002
473,-3.7,50.4,4352672,0.0,25.50958
328,-1.0,64.1,4988921,0.0,29.088260000000002
317,2.0,67.6,5029870,0.0,23.853469999999998
376,4.5,76.6,5047395,0.0,22.290210000000002
319,2.6,61.5,5123677,0.0,17.843619999999998
552,-0.8,51.9,4439420,0.0,19.99145
466,2.2,65.8,4583034,0.0,20.968550000000004
362,5.8,62.9,4243840,0.0,24.17294
301,6.7,72.1,5035040,0.0,20.8906
523,0.1,70.8,5026758,0.0,19.556279999999997
387,-10.9,55.5,5020465,0.0,17.05856
366,-8.9,53.9,5128698,0.0,15.562879999999998
359,-4.2,64.0,3816374,0.0,13.937990000000001
251,-5.0,38.5,4104657,0.0,16.56036
197,-5.6,45.0,3886198,0.0,14.75057
329,-3.5,51.4,4780146,0.0,17.17062
199,-5.5,52.8,4800992,0.0,16.245720000000002
264,-7.4,54.6,4837801,0.0,15.12311
298,-14.5,49.9,4619587,0.0,13.929979999999999
191,-14.9,44.0,4787504,0.0,13.79641
188,-12.2,46.3,4521620,0.0,12.48138
187,-7.7,54.4,4095062,0.0,12.44464
141,-6.7,62.1,4960794,0.0,15.983640000000001
167,-3.9,79.5,4980747,0.0,14.76634
152,2.0,80.3,5072512,0.0,13.941479999999999
134,1.7,46.5,5137594,0.0,14.2154
127,4.5,67.4,5213378,0.0,13.18934
156,-4.9,59.3,4837022,0.0,13.60147
145,-5.5,58.5,4331408,0.0,9.58233
132,-3.8,64.3,5170340,0.0,11.90214
101,-6.3,37.9,5342887,0.0,11.50195
143,-0.1,37.8,5493357,0.0,11.324079999999999
125,4.5,64.4,5409612,0.0,10.263319999999998
115,5.5,92.9,5590498,0.0,10.56059
127,7.6,66.0,5192794,0.0,9.002780000000001
133,7.3,63.9,4727440,0.0,9.53327
102,7.9,62.0,5568573,0.0,12.18693
104,5.3,80.4,5496160,0.0,11.02098
129,1.7,47.6,5648067,0.0,12.302589999999999
105,-2.6,52.3,5466508,0.0,10.36636
112,-8.8,40.0,5641603,0.0,9.78309
154,-1.6,60.0,5280890,0.0,8.769490000000001
101,3.2,57.0,4860803,0.0,11.85064
107,5.0,74.5,5146801,0.0,8.97132
128,-5.6,44.1,5179357,0.0,8.28713
188,-3.2,64.6,5268617,0.0,9.1005
172,-3.6,50.1,5248949,0.0,8.38424
126,1.4,71.8,5480752,0.0,7.763249999999999
143,6.8,80.4,5174819,0.0,7.625730000000001
144,3.6,67.0,4725939,0.0,6.347480000000001
112,-3.1,43.6,5381725,0.0,8.083829999999999
90,-0.9,51.9,5490647,0.0,8.08145
175,3.4,75.1,5527807,0.0,7.715179999999999
183,5.5,71.5,4628753,0.0,7.12338
158,6.5,60.6,4500315,0.0,6.87666
136,7.6,50.6,4552056,0.0,9.724
